motif,motif_ic,motif_len,seed,p_pos,p_neg,motif_auroc_d,bench_mcc,n_train,n_test
SP1,14.2,9,42,0.0,0.0,0.4961,-0.02,1600,400
SP1,14.2,9,42,0.05,0.0,0.5286,-0.02,1600,400
SP1,14.2,9,42,0.1,0.0,0.5446,0.06,1600,400
SP1,14.2,9,42,0.2,0.0,0.5891,0.09,1600,400
SP1,14.2,9,42,0.3,0.0,0.6278,0.2858,1600,400
SP1,14.2,9,42,0.45,0.0,0.7145,0.313,1600,400
SP1,14.2,9,42,0.6,0.0,0.774,0.5828,1600,400
SP1,14.2,9,42,0.8,0.0,0.8648,0.6868,1600,400
SP1,14.2,9,42,1.0,0.0,0.9417,0.8707,1600,400
SP1,14.2,9,43,0.0,0.0,0.5015,-0.0302,1600,400
SP1,14.2,9,43,0.05,0.0,0.5139,-0.0253,1600,400
SP1,14.2,9,43,0.1,0.0,0.5425,0.02,1600,400
SP1,14.2,9,43,0.2,0.0,0.5846,0.0955,1600,400
SP1,14.2,9,43,0.3,0.0,0.622,0.1319,1600,400
SP1,14.2,9,43,0.45,0.0,0.7073,0.384,1600,400
SP1,14.2,9,43,0.6,0.0,0.7796,0.5208,1600,400
SP1,14.2,9,43,0.8,0.0,0.8605,0.6356,1600,400
SP1,14.2,9,43,1.0,0.0,0.9592,0.875,1600,400
SP1,14.2,9,44,0.0,0.0,0.495,0.03,1600,400
SP1,14.2,9,44,0.05,0.0,0.52,-0.03,1600,400
SP1,14.2,9,44,0.1,0.0,0.5407,0.106,1600,400
SP1,14.2,9,44,0.2,0.0,0.5908,0.0456,1600,400
SP1,14.2,9,44,0.3,0.0,0.6291,0.1065,1600,400
SP1,14.2,9,44,0.45,0.0,0.7054,0.3061,1600,400
SP1,14.2,9,44,0.6,0.0,0.7762,0.5114,1600,400
SP1,14.2,9,44,0.8,0.0,0.8679,0.7229,1600,400
SP1,14.2,9,44,1.0,0.0,0.9525,0.8659,1600,400
SP1,14.2,9,45,0.0,0.0,0.4964,0.025,1600,400
SP1,14.2,9,45,0.05,0.0,0.5176,0.025,1600,400
SP1,14.2,9,45,0.1,0.0,0.5447,0.16,1600,400
SP1,14.2,9,45,0.2,0.0,0.6052,0.1612,1600,400
SP1,14.2,9,45,0.3,0.0,0.6353,0.0805,1600,400
SP1,14.2,9,45,0.45,0.0,0.7131,0.3151,1600,400
SP1,14.2,9,45,0.6,0.0,0.7773,0.4673,1600,400
SP1,14.2,9,45,0.8,0.0,0.8667,0.7337,1600,400
SP1,14.2,9,45,1.0,0.0,0.9527,0.8553,1600,400
SP1,14.2,9,46,0.0,0.0,0.505,0.1052,1600,400
SP1,14.2,9,46,0.05,0.0,0.5275,0.035,1600,400
SP1,14.2,9,46,0.1,0.0,0.5447,-0.0501,1600,400
SP1,14.2,9,46,0.2,0.0,0.5928,0.1559,1600,400
SP1,14.2,9,46,0.3,0.0,0.6392,0.2404,1600,400
SP1,14.2,9,46,0.45,0.0,0.7028,0.3321,1600,400
SP1,14.2,9,46,0.6,0.0,0.7667,0.5089,1600,400
SP1,14.2,9,46,0.8,0.0,0.8699,0.7205,1600,400
SP1,14.2,9,46,1.0,0.0,0.9523,0.8502,1600,400
MYC,10.96,8,42,0.0,0.0,0.5074,-0.02,1600,400
MYC,10.96,8,42,0.05,0.0,0.5177,0.005,1600,400
MYC,10.96,8,42,0.1,0.0,0.5267,0.065,1600,400
MYC,10.96,8,42,0.2,0.0,0.5708,0.035,1600,400
MYC,10.96,8,42,0.3,0.0,0.6114,0.1811,1600,400
MYC,10.96,8,42,0.45,0.0,0.6654,0.201,1600,400
MYC,10.96,8,42,0.6,0.0,0.7117,0.3167,1600,400
MYC,10.96,8,42,0.8,0.0,0.7814,0.5785,1600,400
MYC,10.96,8,42,1.0,0.0,0.8547,0.6844,1600,400
MYC,10.96,8,43,0.0,0.0,0.5146,-0.0302,1600,400
MYC,10.96,8,43,0.05,0.0,0.5116,-0.04,1600,400
MYC,10.96,8,43,0.1,0.0,0.5303,-0.055,1600,400
MYC,10.96,8,43,0.2,0.0,0.5828,0.005,1600,400
MYC,10.96,8,43,0.3,0.0,0.6231,0.1725,1600,400
MYC,10.96,8,43,0.45,0.0,0.6489,0.1792,1600,400
MYC,10.96,8,43,0.6,0.0,0.7063,0.3062,1600,400
MYC,10.96,8,43,0.8,0.0,0.8065,0.6284,1600,400
MYC,10.96,8,43,1.0,0.0,0.8577,0.6722,1600,400
MYC,10.96,8,44,0.0,0.0,0.5087,0.03,1600,400
MYC,10.96,8,44,0.05,0.0,0.5173,-0.025,1600,400
MYC,10.96,8,44,0.1,0.0,0.5211,0.015,1600,400
MYC,10.96,8,44,0.2,0.0,0.5717,0.055,1600,400
MYC,10.96,8,44,0.3,0.0,0.613,0.1906,1600,400
MYC,10.96,8,44,0.45,0.0,0.6828,0.2278,1600,400
MYC,10.96,8,44,0.6,0.0,0.7129,0.358,1600,400
MYC,10.96,8,44,0.8,0.0,0.7674,0.5341,1600,400
MYC,10.96,8,44,1.0,0.0,0.869,0.7237,1600,400
MYC,10.96,8,45,0.0,0.0,0.5004,0.025,1600,400
MYC,10.96,8,45,0.05,0.0,0.5276,-0.03,1600,400
MYC,10.96,8,45,0.1,0.0,0.5329,0.03,1600,400
MYC,10.96,8,45,0.2,0.0,0.5629,0.0852,1600,400
MYC,10.96,8,45,0.3,0.0,0.5941,0.0614,1600,400
MYC,10.96,8,45,0.45,0.0,0.6695,0.2964,1600,400
MYC,10.96,8,45,0.6,0.0,0.7047,0.2908,1600,400
MYC,10.96,8,45,0.8,0.0,0.8053,0.5785,1600,400
MYC,10.96,8,45,1.0,0.0,0.8646,0.6942,1600,400
MYC,10.96,8,46,0.0,0.0,0.5041,0.1052,1600,400
MYC,10.96,8,46,0.05,0.0,0.5152,0.035,1600,400
MYC,10.96,8,46,0.1,0.0,0.54,-0.06,1600,400
MYC,10.96,8,46,0.2,0.0,0.5821,0.0851,1600,400
MYC,10.96,8,46,0.3,0.0,0.6017,0.2012,1600,400
MYC,10.96,8,46,0.45,0.0,0.6771,0.2461,1600,400
MYC,10.96,8,46,0.6,0.0,0.7122,0.3895,1600,400
MYC,10.96,8,46,0.8,0.0,0.7819,0.5388,1600,400
MYC,10.96,8,46,1.0,0.0,0.8544,0.6731,1600,400
TBP,8.84,7,42,0.0,0.0,0.5072,-0.02,1600,400
TBP,8.84,7,42,0.05,0.0,0.5023,0.0,1600,400
TBP,8.84,7,42,0.1,0.0,0.5382,0.02,1600,400
TBP,8.84,7,42,0.2,0.0,0.5719,0.0803,1600,400
TBP,8.84,7,42,0.3,0.0,0.605,0.1305,1600,400
TBP,8.84,7,42,0.45,0.0,0.6223,0.1374,1600,400
TBP,8.84,7,42,0.6,0.0,0.7016,0.3154,1600,400
TBP,8.84,7,42,0.8,0.0,0.7462,0.4545,1600,400
TBP,8.84,7,42,1.0,0.0,0.8018,0.5877,1600,400
TBP,8.84,7,43,0.0,0.0,0.4942,-0.0302,1600,400
TBP,8.84,7,43,0.05,0.0,0.5138,-0.035,1600,400
TBP,8.84,7,43,0.1,0.0,0.5411,-0.0701,1600,400
TBP,8.84,7,43,0.2,0.0,0.5446,-0.01,1600,400
TBP,8.84,7,43,0.3,0.0,0.587,0.0401,1600,400
TBP,8.84,7,43,0.45,0.0,0.6498,0.189,1600,400
TBP,8.84,7,43,0.6,0.0,0.6948,0.274,1600,400
TBP,8.84,7,43,0.8,0.0,0.7518,0.4331,1600,400
TBP,8.84,7,43,1.0,0.0,0.7996,0.5735,1600,400
TBP,8.84,7,44,0.0,0.0,0.5084,0.03,1600,400
TBP,8.84,7,44,0.05,0.0,0.5027,-0.0903,1600,400
TBP,8.84,7,44,0.1,0.0,0.5408,0.015,1600,400
TBP,8.84,7,44,0.2,0.0,0.5605,0.005,1600,400
TBP,8.84,7,44,0.3,0.0,0.5974,0.08,1600,400
TBP,8.84,7,44,0.45,0.0,0.6431,0.1663,1600,400
TBP,8.84,7,44,0.6,0.0,0.6771,0.2982,1600,400
TBP,8.84,7,44,0.8,0.0,0.7741,0.463,1600,400
TBP,8.84,7,44,1.0,0.0,0.8078,0.6024,1600,400
TBP,8.84,7,45,0.0,0.0,0.502,0.025,1600,400
TBP,8.84,7,45,0.05,0.0,0.5115,0.055,1600,400
TBP,8.84,7,45,0.1,0.0,0.5377,-0.09,1600,400
TBP,8.84,7,45,0.2,0.0,0.5641,-0.005,1600,400
TBP,8.84,7,45,0.3,0.0,0.5895,0.0903,1600,400
TBP,8.84,7,45,0.45,0.0,0.6409,0.2188,1600,400
TBP,8.84,7,45,0.6,0.0,0.6897,0.2943,1600,400
TBP,8.84,7,45,0.8,0.0,0.74,0.4325,1600,400
TBP,8.84,7,45,1.0,0.0,0.8041,0.5493,1600,400
TBP,8.84,7,46,0.0,0.0,0.4946,0.1052,1600,400
TBP,8.84,7,46,0.05,0.0,0.5171,0.0751,1600,400
TBP,8.84,7,46,0.1,0.0,0.5228,-0.01,1600,400
TBP,8.84,7,46,0.2,0.0,0.5592,-0.015,1600,400
TBP,8.84,7,46,0.3,0.0,0.5885,0.0651,1600,400
TBP,8.84,7,46,0.45,0.0,0.6323,0.2078,1600,400
TBP,8.84,7,46,0.6,0.0,0.6902,0.3158,1600,400
TBP,8.84,7,46,0.8,0.0,0.7459,0.4342,1600,400
TBP,8.84,7,46,1.0,0.0,0.809,0.5688,1600,400
